Agriculture,The mining industry,Manufacturing industry,Power,The construction industry,The wholesale and retail industry,Traffic and transportation industry,Accommodation and catering industry,The transmission of information industry,Finance,Estate,Leasing and business services,The scientific research and technical services,Water conservancy,Education,Health and social work,Culture and sports,Comprehensive
,,600867,,,,,,,,,,,,,,,
,,600869,,,,,,,,,,,,,,,
,,600870,,,,,,,,,,,,,,,
,,600871,,,,,,,,,,,,,,,
,,600872,,,,,,,,,,,,,,,
,,600873,,,,,,,,,,,,,,,
,,600875,,,,,,,,,,,,,,,
,,600876,,,,,,,,,,,,,,,
,,600877,,,,,,,,,,,,,,,
,,600879,,,,,,,,,,,,,,,
,,600881,,,,,,,,,,,,,,,
,,600883,,,,,,,,,,,,,,,
,,600884,,,,,,,,,,,,,,,
,,600885,,,,,,,,,,,,,,,
,,600887,,,,,,,,,,,,,,,
,,600888,,,,,,,,,,,,,,,
,,600889,,,,,,,,,,,,,,,
,,600893,,,,,,,,,,,,,,,
,,600894,,,,,,,,,,,,,,,
,,600960,,,,,,,,,,,,,,,
,,600961,,,,,,,,,,,,,,,
,,600962,,,,,,,,,,,,,,,
,,600963,,,,,,,,,,,,,,,
,,600966,,,,,,,,,,,,,,,
,,600967,,,,,,,,,,,,,,,
,,600970,,,,,,,,,,,,,,,
,,600973,,,,,,,,,,,,,,,
,,600978,,,,,,,,,,,,,,,
,,600980,,,,,,,,,,,,,,,
,,600983,,,,,,,,,,,,,,,
,,600984,,,,,,,,,,,,,,,
,,600985,,,,,,,,,,,,,,,
,,600987,,,,,,,,,,,,,,,
,,600990,,,,,,,,,,,,,,,
,,600992,,,,,,,,,,,,,,,
,,600997,,,,,,,,,,,,,,,
,,601002,,,,,,,,,,,,,,,
,,601003,,,,,,,,,,,,,,,
,,601005,,,,,,,,,,,,,,,
,,601011,,,,,,,,,,,,,,,
,,601012,,,,,,,,,,,,,,,
,,601015,,,,,,,,,,,,,,,
,,601028,,,,,,,,,,,,,,,
,,601038,,,,,,,,,,,,,,,
,,601058,,,,,,,,,,,,,,,
,,601100,,,,,,,,,,,,,,,
,,601106,,,,,,,,,,,,,,,
,,601113,,,,,,,,,,,,,,,
,,601126,,,,,,,,,,,,,,,
,,601137,,,,,,,,,,,,,,,
,,601177,,,,,,,,,,,,,,,
,,601179,,,,,,,,,,,,,,,
,,601208,,,,,,,,,,,,,,,
,,601216,,,,,,,,,,,,,,,
,,601218,,,,,,,,,,,,,,,
,,601222,,,,,,,,,,,,,,,
,,601231,,,,,,,,,,,,,,,
,,601233,,,,,,,,,,,,,,,
,,601238,,,,,,,,,,,,,,,
,,601268,,,,,,,,,,,,,,,
,,601299,,,,,,,,,,,,,,,
,,601311,,,,,,,,,,,,,,,
,,601313,,,,,,,,,,,,,,,
,,601339,,,,,,,,,,,,,,,
,,601369,,,,,,,,,,,,,,,
,,601388,,,,,,,,,,,,,,,
,,601515,,,,,,,,,,,,,,,
,,601558,,,,,,,,,,,,,,,
,,601566,,,,,,,,,,,,,,,
,,601567,,,,,,,,,,,,,,,
,,601579,,,,,,,,,,,,,,,
,,601599,,,,,,,,,,,,,,,
,,601600,,,,,,,,,,,,,,,
,,601608,,,,,,,,,,,,,,,
,,601616,,,,,,,,,,,,,,,
,,601633,,,,,,,,,,,,,,,
,,601636,,,,,,,,,,,,,,,
,,601677,,,,,,,,,,,,,,,
,,601678,,,,,,,,,,,,,,,
,,601689,,,,,,,,,,,,,,,
,,601700,,,,,,,,,,,,,,,
,,601717,,,,,,,,,,,,,,,
,,601718,,,,,,,,,,,,,,,
,,601727,,,,,,,,,,,,,,,
,,601766,,,,,,,,,,,,,,,
,,601777,,,,,,,,,,,,,,,
,,601798,,,,,,,,,,,,,,,
,,601799,,,,,,,,,,,,,,,
,,601877,,,,,,,,,,,,,,,
,,601890,,,,,,,,,,,,,,,
,,601908,,,,,,,,,,,,,,,
,,601965,,,,,,,,,,,,,,,
,,601989,,,,,,,,,,,,,,,
,,601992,,,,,,,,,,,,,,,
,,601996,,,,,,,,,,,,,,,
,,603001,,,,,,,,,,,,,,,
,,603002,,,,,,,,,,,,,,,
,,603005,,,,,,,,,,,,,,,
,,603006,,,,,,,,,,,,,,,
,,603008,,,,,,,,,,,,,,,
,,603009,,,,,,,,,,,,,,,
,,603010,,,,,,,,,,,,,,,
,,603011,,,,,,,,,,,,,,,
,,603012,,,,,,,,,,,,,,,
,,603015,,,,,,,,,,,,,,,
,,603019,,,,,,,,,,,,,,,
