date,600079.ss,600080.ss,600081.ss,600083.ss,600084.ss,600085.ss,600086.ss,600089.ss,600090.ss,600091.ss,600093.ss,600095.ss,600096.ss,600099.ss,600100.ss,600103.ss,600104.ss,600105.ss,600107.ss,600110.ss,600111.ss,600112.ss,600114.ss,600117.ss,600118.ss,600126.ss,600127.ss,600129.ss,600130.ss,600132.ss,600135.ss,600137.ss,600141.ss,600143.ss,600145.ss,600146.ss,600148.ss,600150.ss,600151.ss,600152.ss
2015-3-20,0.042499207,0.014742015,0.00280112,0,-0.002971768,0.004164931,0,-0.008283133,0,0.002911208,-0.009746589,-0.020300752,-0.014647137,0.000922509,0.005754476,0.010893246,0,0.01142355,0.034280936,0.018252934,-0.008529663,0.003668042,0.050866419,-0.008130081,-0.005345851,0,0.026388889,0,0.004149378,-0.008605852,-0.023581889,0.005872483,0.030981067,0.046599496,0.04974271,-0.007741348,0.008591065,-0.009701302,0.004743083,0.011956522
2015-3-19,-0.008490566,0.019198664,0.016514806,0,0.053208138,0.015221987,0,0.008352316,0,0.050458716,-0.033898305,-0.034132171,0.002670227,0.030418251,0.009032258,-0.004338395,-0.017885533,-0.01300954,-0.010752688,0.005242464,0.00447111,-0.02065559,0.100245798,-0.025356577,0.012022897,0,0.058823529,0,-0.020325203,-0.027208037,-0.012586073,-0.01037775,0.017513135,0.027166882,0.022807018,-0.011256191,0.01261418,0.007199794,0.004765687,-0.00862069
2015-3-18,-0.004383219,0.012679628,-0.005662514,0,0.017515924,0.012414384,0.059390048,0.029710711,0,0.009259259,-0.006238303,0.047148289,0.034530387,0.010566763,0.016393443,0.040632054,0.001592357,0.005231037,0.028061224,0.005270092,0.008260495,0.019688645,0,0.099303136,-0.003593787,0,0.014925373,0,0.036516854,0.064142539,0,-0.011489536,0.043239951,0.03342246,0.023339318,0.030148423,0.015908087,0.0154047,0.004788508,-0.001076426
2015-3-17,0.000940144,-0.006717045,0.05748503,0,0.024469821,-0.013096747,0.009397278,0.011867089,0,0.00777605,0.032860825,0.10041841,0.021877205,0.009699321,0.015312916,0.054761905,0.009240659,-0.006926407,0,0.016064257,0.008335639,0.028732925,0,0.023172906,0.04018701,0,0.007518797,0,0.024460432,0.099951004,0.024500001,0.100225734,0.011083744,0.004026846,0.014571949,0.053763441,0.021670429,0.022151054,0.015397083,0.044994376
2015-3-16,-0.002500781,0.027610009,0.100131752,0,0.030252101,0.044571933,0.043978349,0.013632719,0,0.030448718,0.019710907,0.100368324,0.010699001,0.032032032,0.040166205,0.019417476,0.006469875,0.034946237,0.014667817,0.026098901,0.01382481,0.1,0,0.02,0.031822287,0,0.042319749,0,0.022058824,0.100269542,0.016382587,0.01187757,0.025252525,0.023351648,0.030018762,0.021978022,0.034563288,0.014347591,0.03697479,0.011376564
2015-3-13,0.009785354,0.03113879,0.001319261,0,0.00676819,-0.00351803,0.054960742,-0.004788508,0,0.009708738,0.00928382,0,-0.006378455,-0.001998002,0.016901408,-0.009615385,0.000809389,0.020109689,0.006076389,-0.00952381,0.015602398,0.007832898,0.100135342,0.003649635,0.009737142,0,0.004724409,0,0.010401189,0.100237248,0.013954011,-0.000912825,0.008274984,0.006915629,0.009469697,-0.016216216,0.018553758,-0.006187786,0.010186757,0.016184971
2015-3-12,0.013435701,0.002676182,-0.026332691,0,-0.018272425,0.012917595,-0.02062216,0.014574899,0,-0.023696682,-0.018867925,0,-0.027567195,-0.024366472,0.001410437,0.009708738,0.047921968,-0.024085638,-0.031118587,0.071428571,0.014240453,0.099942562,-0.023778287,0.007352941,0.010495159,0,0.016,0,-0.014641288,-0.009400705,-0.060549796,0,-0.016280526,-0.005502063,-0.014925373,0.020050125,-0.004263382,0.00296816,-0.028854081,-0.014806378
2015-3-11,-0.015433071,-0.019247594,-0.026875,0,0,-0.011448701,0.00633134,-0.006436042,0,0.0063593,-0.045934202,0.100303951,0.048410405,0.00097561,-0.010467551,0.032581454,0.027003484,0.100098135,-0.010815308,-0.018597997,-0.014812785,0.099810486,-0.003946745,-0.014492754,-0.019298577,0,-0.0063593,0,-0.014430014,0.007100592,0.019732593,-0.006799637,0.006301197,-0.009536785,0,-0.017241379,-0.015391791,0.001621622,0.009151414,0.030516432
2015-3-10,0.046128501,0.02236136,0.007556675,0,0.006688963,0.000440529,0.045220588,0.015522876,0,0.003189793,-0.021857923,0.100334448,-0.020523708,0.021934197,0,-0.004987531,-0.006920415,0.017982018,0.055311677,0.005755396,-0.002332602,0.100069493,0.001317093,0.020332717,-0.011761051,0,0.012882448,0,-0.005738881,0.000592066,0.100140338,0.013321084,-0.042822678,0.018030513,-0.007407407,-0.006849315,0.009416196,-0.023746702,0.017781541,-0.00814901
2015-3-9,0.029162428,0.002690583,0.004427577,0,0.017006803,0.007992895,0.003319808,0.002457002,0,0.004807692,0.100200401,0.043023256,0.082758621,0,0.017755682,0.010075567,0.017605634,0.018311292,-0.000877193,0.03115727,-0.003487286,0,0.014705793,0.013108614,0.002230052,0,0.014705882,0,0.028023599,0.013197361,-0.018556606,0.030288689,0.014067278,0.014064698,0.001855288,0.027135678,0.024602026,0.063710356,0.013733906,0.028742515
